"filename", "language", "TOML", "Rust", "Python", "GLSL", "comment", "blank", "total"
"c:\Users\Nick\Desktop\game_projects\ozy_engine\Cargo.toml", "TOML", 11, 0, 0, 0, 1, 2, 14
"c:\Users\Nick\Desktop\game_projects\ozy_engine\scripts\ozy_common.py", "Python", 0, 0, 120, 0, 19, 39, 178
"c:\Users\Nick\Desktop\game_projects\ozy_engine\scripts\ozymap_export.py", "Python", 0, 0, 118, 0, 24, 34, 176
"c:\Users\Nick\Desktop\game_projects\ozy_engine\scripts\ozymesh_export.py", "Python", 0, 0, 33, 0, 2, 10, 45
"c:\Users\Nick\Desktop\game_projects\ozy_engine\scripts\ozyterrain_export.py", "Python", 0, 0, 67, 0, 1, 13, 81
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\edit.frag", "GLSL", 0, 0, 0, 5, 0, 2, 7
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\gaussian_blur.frag", "GLSL", 0, 0, 0, 20, 2, 6, 28
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\glyph.frag", "GLSL", 0, 0, 0, 8, 0, 4, 12
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\glyph.vert", "GLSL", 0, 0, 0, 12, 0, 4, 16
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\mapped.frag", "GLSL", 0, 0, 0, 40, 7, 12, 59
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\mapped.vert", "GLSL", 0, 0, 0, 22, 0, 6, 28
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\mapped_instanced.vert", "GLSL", 0, 0, 0, 23, 2, 8, 33
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\postprocessing.frag", "GLSL", 0, 0, 0, 16, 1, 5, 22
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\postprocessing.vert", "GLSL", 0, 0, 0, 8, 0, 3, 11
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\prim.frag", "GLSL", 0, 0, 0, 7, 0, 4, 11
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\prim.vert", "GLSL", 0, 0, 0, 9, 0, 4, 13
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\prim_instanced.vert", "GLSL", 0, 0, 0, 10, 0, 4, 14
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\shadow.frag", "GLSL", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\shadow.vert", "GLSL", 0, 0, 0, 6, 0, 3, 9
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\shadow_instanced.vert", "GLSL", 0, 0, 0, 11, 0, 4, 15
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\ui_button.frag", "GLSL", 0, 0, 0, 6, 0, 3, 9
"c:\Users\Nick\Desktop\game_projects\ozy_engine\shaders\ui_button.vert", "GLSL", 0, 0, 0, 9, 0, 4, 13
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\glutil.rs", "Rust", 0, 338, 0, 0, 15, 50, 403
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\init.rs", "Rust", 0, 12, 0, 0, 2, 3, 17
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\io.rs", "Rust", 0, 109, 0, 0, 6, 18, 133
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\lib.rs", "Rust", 0, 10, 0, 0, 0, 1, 11
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\prims.rs", "Rust", 0, 153, 0, 0, 24, 34, 211
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\render.rs", "Rust", 0, 320, 0, 0, 6, 38, 364
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\routines.rs", "Rust", 0, 3, 0, 0, 0, 3, 6
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\structs.rs", "Rust", 0, 92, 0, 0, 4, 20, 116
"c:\Users\Nick\Desktop\game_projects\ozy_engine\src\ui.rs", "Rust", 0, 647, 0, 0, 38, 107, 792
"Total", "-", 11, 1684, 338, 215, 154, 449, 2851